date,runAt,availabilityHash,priceHash,availabilityRows,regions,geographies,offerings,skus,priceItems,priceQueries,availabilityAdded,availabilityRemoved,availabilityStateChanged,priceAdded,priceRemoved,priceChanged,priceFailures
2026-06-15,2026-06-15T20:50:01Z,88cc2760d9a81e0c130eb4ed9892c8b17bc652c20ba256e6a6d29e6c2a4da588,2143ec0a0ff279c7c9c82ac25f4eaa8ca2aba32ecc2aa8c01a712f77c3118539,16534,66,33,191,517,8836,100,0,0,0,0,0,0,0
2026-06-16,2026-06-16T19:29:27Z,88cc2760d9a81e0c130eb4ed9892c8b17bc652c20ba256e6a6d29e6c2a4da588,2143ec0a0ff279c7c9c82ac25f4eaa8ca2aba32ecc2aa8c01a712f77c3118539,16534,66,33,191,517,8836,100,0,0,0,0,0,0,0
2026-06-18,2026-06-18T19:07:42Z,88cc2760d9a81e0c130eb4ed9892c8b17bc652c20ba256e6a6d29e6c2a4da588,2143ec0a0ff279c7c9c82ac25f4eaa8ca2aba32ecc2aa8c01a712f77c3118539,16534,66,33,191,517,8836,100,0,0,0,0,0,0,0
2026-06-19,2026-06-19T18:57:07Z,88cc2760d9a81e0c130eb4ed9892c8b17bc652c20ba256e6a6d29e6c2a4da588,2143ec0a0ff279c7c9c82ac25f4eaa8ca2aba32ecc2aa8c01a712f77c3118539,16534,66,33,191,517,8836,100,0,0,0,0,0,0,0
2026-06-20,2026-06-20T18:48:44Z,88cc2760d9a81e0c130eb4ed9892c8b17bc652c20ba256e6a6d29e6c2a4da588,2143ec0a0ff279c7c9c82ac25f4eaa8ca2aba32ecc2aa8c01a712f77c3118539,16534,66,33,191,517,8836,100,0,0,0,0,0,0,0
2026-06-21,2026-06-21T18:50:27Z,88cc2760d9a81e0c130eb4ed9892c8b17bc652c20ba256e6a6d29e6c2a4da588,2143ec0a0ff279c7c9c82ac25f4eaa8ca2aba32ecc2aa8c01a712f77c3118539,16534,66,33,191,517,8836,100,0,0,0,0,0,0,0
2026-06-22,2026-06-22T19:27:48Z,cf78c63e78ca5b11e4cf57e5539fd1619e414d42af2ed903f63d2e1dcaacc68a,2143ec0a0ff279c7c9c82ac25f4eaa8ca2aba32ecc2aa8c01a712f77c3118539,16527,66,33,191,516,8836,100,6,13,0,0,0,0,0
2026-06-23,2026-06-23T07:33:57Z,cf78c63e78ca5b11e4cf57e5539fd1619e414d42af2ed903f63d2e1dcaacc68a,2143ec0a0ff279c7c9c82ac25f4eaa8ca2aba32ecc2aa8c01a712f77c3118539,16527,66,33,191,516,8836,100,0,0,0,0,0,0,0
2026-06-24,2026-06-24T18:55:53Z,7af69504e4962c73234d21ec342e0030cd8ec04332004810bcadf6eb155faf48,2143ec0a0ff279c7c9c82ac25f4eaa8ca2aba32ecc2aa8c01a712f77c3118539,17252,69,34,191,516,8836,100,725,0,1587,0,0,0,0
2026-06-25,2026-06-25T18:59:51Z,7af69504e4962c73234d21ec342e0030cd8ec04332004810bcadf6eb155faf48,2143ec0a0ff279c7c9c82ac25f4eaa8ca2aba32ecc2aa8c01a712f77c3118539,17252,69,34,191,516,8836,100,0,0,0,0,0,0,0
